"Brug af internet til private formål - procent af befolkningen (16-74"
"år) efter type, formål og tid"

" "," ","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012"
" ","Søge helbredsmæssig information",..,..,..,..,..,..,..,..,..,..,..
" ","Internetbank",..,..,..,..,..,..,..,..,..,..,..
" ","Salg af varer/tjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,..,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,..,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,..,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",..,..,..,..,..,..,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt sociale netværkstjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Taget online kursus",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt e-learning materiale",..,..,..,..,..,..,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",..,..,..,..,..,..,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",..,..,..,..,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",..,..,..,..,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",..,..,..,..,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",..,..,..,..,..,..,..,..,..,..,..
" ","Lytter til podcast uanset emne",..,..,..,..,..,..,..,..,..,..,..
"Socioøkonomisk status: Lønmodtagere, over grundniveau"
" ","Sende/modtage e-mail",..,..,..,..,..,..,..,..,..,..,..
" ","Søge infomation om varer mv.",..,..,..,..,..,..,..,..,..,..,..
" ","Services ifm. rejser mv",..,..,..,..,..,..,..,..,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,..,..
" ","Læse/downloade nyheder",..,..,..,..,..,..,..,..,..,..,..
" ","Jobsøgning",..,..,..,..,..,..,..,..,..,..,..
" ","Søge helbredsmæssig information",..,..,..,..,..,..,..,..,..,..,..
" ","Internetbank",..,..,..,..,..,..,..,..,..,..,..
" ","Salg af varer/tjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,..,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,..,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,..,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
