Type;Kategori;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
Alder: 60-74 år;Brug af dating apps eller hjemmesider;1;..;6;..;..;2;..;..;..;..;..
Alder: 60-74 år;Lytter til podcast uanset emne;21;..;15;..;..;..;..;..;..;..;..
Køn: Kvinder;Sende/modtage e-mail;95;96;96;94;94;94;95;..;89;88;86
Køn: Kvinder;Søge infomation om varer mv.;91;85;89;83;88;77;86;75;85;82;80
Køn: Kvinder;Services ifm. rejser mv;..;..;..;..;..;59;66;66;..;..;..
Køn: Kvinder;Downloade software;..;..;..;..;..;..;..;..;..;36;..
Køn: Kvinder;Læse/downloade nyheder;86;85;85;80;..;82;67;63;74;66;69
Køn: Kvinder;Jobsøgning;..;36;..;37;..;24;..;..;..;22;..
Køn: Kvinder;Søge helbredsmæssig information;77;81;78;74;72;72;73;71;..;61;..
Køn: Kvinder;Internetbank;95;96;94;91;90;90;89;85;84;81;78
Køn: Kvinder;Salg af varer/tjenester;33;35;31;25;28;27;33;34;27;20;20
Køn: Kvinder;Søge infomation om kurser/uddannelse;..;..;..;..;..;..;..;..;..;41;..
Køn: Kvinder;Følge online kursus;..;..;..;..;..;..;..;..;..;5;..
Køn: Kvinder;At lære nyt på nettet;..;..;..;..;..;..;..;..;..;54;..
Køn: Kvinder;Kontakt til offentlige myndigheder (2008);..;..;..;..;..;..;..;..;..;..;..
Køn: Kvinder;Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;92;89;90;90;88;86;86;..;..;..
Køn: Kvinder;Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;39;36;37;45;43;51;52;51;..;..;..
Køn: Kvinder;Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;67;68;75;72;72;72;68;..;..;..
Køn: Kvinder;Delt/udtrykt egne holdinger på nettet;16;20;..;18;..;23;..;..;..;..;..
